EQUIPMENTID,HOUR,LANE_BUNDLE_DIRECTION,NR_LANES,TOTAL_VOLUME,AVG_SPEED_ARITHMETIC,AVG_SPEED_HARMONIC,OCCUPANCY
121725,17:00:00,C,2,154,94.2749438202247,91.35988764044943,8.685168539325844
121725,17:05:00,C,2,164,94.1947191011236,91.42887640449439,9.168202247191012
121725,17:10:00,C,2,169,93.79932584269662,91.21033707865169,9.45
121725,17:15:00,C,2,176,93.35831460674157,90.72505617977528,9.725730337078652
121725,17:20:00,C,2,172,94.04044943820224,91.26932584269663,9.580561797752809
121725,17:25:00,C,2,166,92.88533333333334,90.20744444444445,9.247111111111112
121725,17:25:00,D,2,0,0.0,0.0,0.0
121725,17:30:00,C,2,162,93.19744444444444,90.47888888888889,9.058111111111112
121725,17:30:00,D,2,0,0.0,0.0,0.0
121725,17:35:00,C,2,168,92.70644444444444,90.00544444444444,9.314
121725,17:35:00,D,2,0,0.0,0.0,0.0
121725,17:40:00,C,2,176,93.35799999999999,90.704,9.855111111111112
121725,17:45:00,C,2,186,92.84377777777779,90.28344444444444,10.325333333333333
121725,17:50:00,C,2,187,92.71255555555555,90.18533333333333,10.351
121725,17:55:00,C,2,180,92.82377777777778,90.1798888888889,10.036222222222221
121725,18:00:00,C,2,176,92.461,89.85733333333333,9.92388888888889
121725,18:05:00,C,2,182,91.77911111111112,89.13166666666667,10.333666666666666
121725,18:10:00,C,2,194,91.17288888888888,88.68088888888889,10.977444444444444
121725,18:15:00,C,2,196,91.7101111111111,89.23433333333334,10.955111111111112
121725,18:20:00,C,2,189,91.39666666666668,88.78311111111111,10.660222222222222
121725,18:25:00,C,2,187,90.90111111111112,88.29555555555557,10.639555555555555
121725,18:30:00,C,2,177,90.73066666666666,88.06911111111111,10.50211111111111
121725,18:35:00,C,2,176,90.45922222222222,87.79755555555555,10.464666666666666
121725,18:35:00,D,2,5,90.8,89.87,0.28
121725,18:40:00,C,2,178,90.05477777777779,87.30277777777778,10.680333333333333
121725,18:45:00,C,2,176,90.43644444444445,87.69677777777778,10.784777777777778
121725,18:50:00,C,2,174,90.80622222222223,88.17033333333333,10.637
121725,18:55:00,C,2,170,90.91233333333334,88.15355555555556,10.390666666666666
121725,19:00:00,C,2,169,91.25699999999999,88.50555555555556,10.147333333333334
121725,19:05:00,C,2,167,90.96233333333333,88.22833333333334,10.155777777777777
121725,19:10:00,C,2,169,90.30133333333333,87.44711111111111,10.343666666666666
121725,19:15:00,C,2,168,90.77766666666666,88.06533333333333,10.303666666666667
121725,19:20:00,C,2,165,91.46444444444444,88.71133333333333,9.867222222222221
121725,19:25:00,C,2,166,91.6551111111111,88.86044444444444,9.938666666666666
121725,19:30:00,C,2,157,92.10288888888888,89.23622222222222,9.723222222222223
121725,19:35:00,C,2,160,91.81955555555555,88.94133333333333,9.719777777777777
121725,19:40:00,C,2,158,92.30033333333334,89.4148888888889,9.637666666666666
121725,19:45:00,C,2,158,92.23333333333333,89.33344444444445,9.581222222222223
121725,19:50:00,C,2,150,93.22111111111111,90.29288888888888,9.005888888888888
121725,19:55:00,C,2,148,93.7551111111111,90.88977777777778,8.779555555555556
121725,20:00:00,C,2,146,93.44477777777779,90.5441111111111,8.794555555555556
121726,17:00:00,C,3,264,86.5215,83.324375,11.311125
121726,17:00:00,D,3,309,84.383625,80.81625,13.604624999999999
121726,17:05:00,C,3,273,86.6645,83.469625,11.652
121726,17:05:00,D,3,320,83.784375,80.357,14.367750000000001
121726,17:10:00,C,3,292,85.488125,82.350875,12.435375
121726,17:10:00,D,3,327,83.216125,79.6135,14.957249999999998
121726,17:15:00,C,3,295,84.888375,81.6335,12.637
121726,17:15:00,D,3,344,82.57062499999999,79.36,15.679499999999999
121726,17:20:00,C,3,294,84.595375,81.4365,12.90825
121726,17:20:00,D,3,349,82.2775,78.9875,15.743375
121726,17:25:00,C,3,291,84.4025,81.142375,12.979249999999999
121726,17:25:00,D,3,345,81.819875,78.43925,15.846250000000001
121726,17:30:00,C,3,284,84.61506172839506,81.35283950617284,12.83074074074074
121726,17:30:00,D,3,339,81.85864197530864,78.51506172839507,15.688641975308641
121726,17:35:00,C,3,282,84.81086419753086,81.63185185185185,12.759135802469135
121726,17:35:00,D,3,344,81.18925925925926,77.91185185185185,15.924074074074072
121726,17:40:00,C,3,290,84.24185185185185,81.0067901234568,13.034938271604938
121726,17:40:00,D,3,354,80.89246913580247,77.46135802469135,16.251234567901232
121726,17:45:00,C,3,306,83.95012345679012,80.89222222222223,13.379506172839505
121726,17:45:00,D,3,356,80.89716049382716,77.68604938271605,16.102345679012345
121726,17:50:00,C,3,298,84.05407407407408,80.9058024691358,12.961481481481483
121726,17:50:00,D,3,356,80.15506172839507,76.88086419753087,16.264074074074074
121726,17:55:00,C,3,297,84.29962962962964,81.15296296296297,12.809753086419752
121726,17:55:00,D,3,353,79.83604938271606,76.75358024691359,16.388148148148147
121726,18:00:00,C,3,292,84.16222222222223,80.89555555555556,12.776790123456792
121726,18:00:00,D,3,350,80.52654320987654,77.5611111111111,15.797777777777776
121726,18:05:00,C,3,294,84.6816049382716,81.65975308641976,12.565061728395062
121726,18:05:00,D,3,359,78.95518518518519,75.81925925925925,16.624074074074073
121726,18:10:00,C,3,308,83.53864197530865,80.51864197530864,13.23679012345679
121726,18:10:00,D,3,371,78.01691358024691,74.89802469135802,17.448148148148146
121726,18:15:00,C,3,312,83.18320987654322,80.08493827160494,13.38432098765432
121726,18:15:00,D,3,373,74.62283950617284,71.27395061728394,19.530864197530864
121726,18:20:00,C,3,304,82.9137037037037,79.28876543209877,13.381604938271606
