begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,300.00,121726_00,40,480.00,3.18,22.52,20.94,5.00,40
0.00,300.00,121726_01,36,432.00,2.45,25.29,25.15,5.00,37
0.00,300.00,121726_02,22,264.00,1.37,26.79,26.70,5.00,22
0.00,300.00,121726_10,14,168.00,1.01,23.46,23.21,5.00,14
0.00,300.00,121726_11,21,252.00,1.43,24.67,24.40,5.00,21
0.00,300.00,121726_12,11,132.00,0.71,26.13,25.78,5.00,11
0.00,300.00,121727_00,37,444.00,2.67,23.21,23.10,5.00,37
0.00,300.00,121727_01,35,420.00,2.30,25.45,25.34,5.00,35
0.00,300.00,121727_02,17,204.00,1.05,27.05,26.95,5.00,17
0.00,300.00,121727_10,19,228.00,1.40,22.96,22.54,5.00,19
0.00,300.00,121727_11,25,300.00,1.71,24.65,24.42,5.00,25
0.00,300.00,121727_12,8,96.00,0.50,27.20,26.84,5.00,8
0.00,300.00,121731_00,5,60.00,0.41,20.50,20.40,5.00,5
0.00,300.00,121731_01,41,492.00,3.33,20.69,20.55,5.00,41
0.00,300.00,121731_02,13,156.00,0.96,22.72,22.54,5.00,13
0.00,300.00,121731_03,0,0.00,0.00,-1.00,-1.00,-1.00,0
0.00,300.00,121731_04,0,0.00,0.00,-1.00,-1.00,-1.00,0
0.00,300.00,121731_10,0,0.00,0.00,-1.00,-1.00,-1.00,0
0.00,300.00,121731_11,0,0.00,0.00,-1.00,-1.00,-1.00,0
0.00,300.00,121731_12,0,0.00,0.00,-1.00,-1.00,-1.00,0
0.00,300.00,121731_13,0,0.00,0.00,-1.00,-1.00,-1.00,0
0.00,300.00,121732_00,10,120.00,0.80,21.79,20.96,5.00,10
0.00,300.00,121732_01,33,396.00,2.72,20.43,20.20,5.00,33
0.00,300.00,121732_02,18,216.00,1.36,22.25,22.10,5.00,18
0.00,300.00,121732_03,4,48.00,0.28,24.23,24.10,5.00,4
0.00,300.00,121732_10,6,72.00,0.48,21.22,20.98,5.00,6
0.00,300.00,121732_11,51,612.00,4.34,19.82,19.57,5.00,51
0.00,300.00,121732_12,51,612.00,3.83,22.32,22.21,5.00,51
0.00,300.00,121732_13,21,252.00,1.49,23.60,23.50,5.00,21
0.00,300.00,121733_00,41,492.00,3.36,20.50,20.36,5.00,41
0.00,300.00,121733_01,21,252.00,1.52,23.09,22.97,5.00,21
0.00,300.00,121733_02,5,60.00,0.35,24.02,23.98,5.00,5
0.00,300.00,121733_10,2,24.00,0.16,21.19,21.17,5.00,2
0.00,300.00,121733_11,66,792.00,5.43,20.43,20.25,5.00,66
0.00,300.00,121733_12,54,648.00,3.96,22.85,22.73,5.00,54
0.00,300.00,121734_00,0,0.00,0.00,-1.00,-1.00,-1.00,0
0.00,300.00,121734_01,10,120.00,1.24,16.20,15.88,5.00,13
0.00,300.00,121734_02,55,660.00,6.01,17.77,15.45,5.00,56
0.00,300.00,121734_03,22,264.00,1.83,22.82,20.04,5.00,22
0.00,300.00,121734_04,3,36.00,0.20,24.44,24.40,5.00,3
0.00,300.00,121734_10,41,492.00,3.41,20.21,20.05,5.00,41
0.00,300.00,121734_11,37,444.00,2.73,22.69,22.56,5.00,37
0.00,300.00,121734_12,13,156.00,0.92,23.59,23.52,5.00,13
0.00,300.00,121734_13,0,0.00,0.00,-1.00,-1.00,-1.00,0
